,name,rating,reviwes,type,hq,old,employees
0,TCS,3.8,61.6k Reviews,Public,Mumbai +280 more,55 years old,1 Lakh+ Employees
1,Accenture,4.1,39.3k Reviews,Public,Dublin +140 more,34 years old,1 Lakh+ Employees
2,Cognizant,3.9,35.9k Reviews,Forbes Global 2000,Teaneck. New Jersey. +111 more,29 years old,1 Lakh+ Employees
3,Wipro,3.8,29.4k Reviews,Public,Bangalore/Bengaluru +242 more,78 years old,1 Lakh+ Employees
4,ICICI Bank,4.0,29.2k Reviews,Public,Mumbai +1176 more,29 years old,1 Lakh+ Employees
5,HDFC Bank,3.9,28.5k Reviews,Public,Mumbai +1403 more,29 years old,1 Lakh+ Employees
6,Infosys,3.9,26.9k Reviews,Public,Bengaluru/Bangalore +135 more,42 years old,1 Lakh+ Employees
7,Capgemini,3.9,24.9k Reviews,Public,Paris +86 more,56 years old,1 Lakh+ Employees
8,Tech Mahindra,3.7,23.5k Reviews,Public,Pune +231 more,37 years old,1 Lakh+ Employees
9,Genpact,4.0,22.7k Reviews,Public,New York +79 more,26 years old,50k-1 Lakh Employees
10,HCLTech,3.7,22.6k Reviews,Public,Noida +150 more,32 years old,1 Lakh+ Employees
11,Axis Bank,3.8,19.2k Reviews,Public,Mumbai +1207 more,30 years old,50k-1 Lakh Employees
12,Concentrix Corporation,4.0,18k Reviews,Public,Fremont +82 more,40 years old,10k-50k Employees
13,IBM,4.1,17.4k Reviews,Public,Armonk +129 more,112 years old,50k-1 Lakh Employees
14,Amazon,4.2,17.3k Reviews,Public,Seattle +389 more,29 years old,1 Lakh+ Employees
15,Reliance Jio,4.0,17.3k Reviews,Public,Navi Mumbai +1081 more,16 years old,50k-1 Lakh Employees
16,Larsen & Toubro Limited,4.0,16.4k Reviews,Public,Mumbai +570 more,85 years old,1 Lakh+ Employees
17,HDB Financial Services,4.0,15.5k Reviews,16 years old,Ahmedabad +879 more,16 years old,10k-50k Employees
18,Reliance Retail,3.9,15k Reviews,17 years old,Navi Mumbai +870 more,17 years old,1 Lakh+ Employees
19,Teleperformance,3.6,14.5k Reviews,Forbes Global 2000,Paris +131 more,45 years old,10k-50k Employees
0,Vodafone Idea,4.2,14.2k Reviews,Public,Gandhinagar +594 more,5 years old,10k-50k Employees
1,Deloitte,4.0,12.2k Reviews,178 years old,London +141 more,178 years old,50k-1 Lakh Employees
2,Kotak Mahindra Bank,3.8,12.1k Reviews,Public,Mumbai +504 more,20 years old,10k-50k Employees
3,BYJU'S,3.2,12k Reviews,Indian Unicorn,Bangalore +284 more,12 years old,1k-5k Employees
4,Reliance Industries,4.0,11.4k Reviews,46 years old,Navi Mumbai +572 more,46 years old,Public
5,Bharti Airtel,4.0,10.6k Reviews,Public,Gurgaon/Gurugram +584 more,28 years old,10k-50k Employees
6,Tata Motors,4.2,9.9k Reviews,Public,Pune +414 more,78 years old,10k-50k Employees
7,Flipkart,4.1,8.5k Reviews,Public,Bangalore +488 more,16 years old,10k-50k Employees
8,Ernst & Young,3.7,8.4k Reviews,21 years old,London +84 more,21 years old,10k-50k Employees
9,WNS,3.6,8.3k Reviews,27 years old,Mumbai +28 more,27 years old,10k-50k Employees
10,IndusInd Bank,3.7,7.9k Reviews,Public,Gurgaon/Gurugram +624 more,29 years old,10k-50k Employees
11,Mahindra & Mahindra,4.1,7.7k Reviews,Public,Mumbai +434 more,78 years old,1 Lakh+ Employees
12,DXC Technology,3.9,7.2k Reviews,Public,Minato +59 more,6 years old,10k-50k Employees
